Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
3.00,"1,103.00","1,103.00",544.00,544.00,559.00,559.00,1.00,1.00,1.00,"1,677.00","2,236.00","2,236.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,103.00",544.00,559.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,559.00,559.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
4.00,262.00,262.00,133.00,133.00,129.00,129.00,1.00,1.00,1.00,516.00,645.00,645.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,262.00,133.00,129.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,129.00,129.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
5.00,"2,136.00","2,136.00","1,072.00","1,072.00","1,064.00","1,064.00",1.00,1.00,1.00,"5,320.00","6,384.00","6,384.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"2,136.00","1,072.00","1,064.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,064.00","1,064.00",0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
6.00,542.00,542.00,255.00,255.00,287.00,287.00,1.00,1.00,1.00,"1,722.00","2,009.00","2,009.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,542.00,255.00,287.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,287.00,287.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
7.00,83.00,59.00,40.00,40.00,43.00,19.00,1.00,0.44,0.71,301.00,345.00,344.00,1.00,0.64,1.00,0.64,1.00,0.64,1.00,0.64,83.00,40.00,43.00,1.00,1.00,1.00,1.00,1.00,0.44,0.49,26.00,24.00,2.00,0.08,17.00,0.56,0.92,0.60,0.91,0.47,0.51
8.00,36.00,28.00,17.00,17.00,19.00,11.00,1.00,0.58,0.78,152.00,174.00,171.00,1.00,0.69,1.00,0.70,1.00,0.69,1.00,0.70,36.00,17.00,19.00,1.00,1.00,1.00,1.00,1.00,0.58,0.63,16.00,15.00,1.00,0.06,3.00,0.79,0.94,0.84,1.00,0.63,0.63
9.00,"1,968.00","1,896.00",963.00,963.00,"1,005.00",933.00,1.00,0.93,0.96,"9,045.00","10,051.00","10,050.00",1.00,0.95,1.00,0.95,1.00,0.95,1.00,0.95,"1,964.00",963.00,"1,001.00",1.00,1.00,1.00,1.00,1.00,0.93,0.95,970.00,953.00,17.00,0.02,31.00,0.95,0.98,0.97,0.99,0.93,0.94
10.00,980.00,939.00,496.00,496.00,484.00,443.00,1.00,0.92,0.96,"4,840.00","5,331.00","5,324.00",1.00,0.94,1.00,0.94,1.00,0.94,1.00,0.94,978.00,496.00,482.00,1.00,1.00,1.00,1.00,1.00,0.92,0.93,472.00,466.00,5.00,0.01,10.00,0.96,0.99,0.98,1.00,0.92,0.92
11.00,391.00,324.00,207.00,207.00,184.00,117.00,1.00,0.64,0.83,"2,024.00","2,234.00","2,208.00",1.00,0.77,1.00,0.78,1.00,0.77,1.00,0.78,390.00,207.00,183.00,1.00,1.00,0.99,1.00,1.00,0.64,0.76,158.00,135.00,22.00,0.14,25.00,0.73,0.85,0.86,1.00,0.66,0.66
12.00,148.00,111.00,79.00,79.00,69.00,32.00,1.00,0.46,0.75,828.00,910.00,897.00,1.00,0.66,1.00,0.67,1.00,0.66,1.00,0.67,148.00,79.00,69.00,1.00,1.00,1.00,1.00,1.00,0.46,0.54,61.00,55.00,5.00,0.08,8.00,0.80,0.90,0.88,1.00,0.48,0.48
