Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall,Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%)
3.00,"1,063.00","1,063.00",547.00,547.00,516.00,516.00,1.00,1.00,1.00,"1,548.00","2,064.00","2,064.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,063.00",547.00,516.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,516.00,516.00,0.00,0.00,1.00,1.00,1.00
4.00,275.00,275.00,146.00,146.00,129.00,129.00,1.00,1.00,1.00,516.00,645.00,645.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,275.00,146.00,129.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,129.00,129.00,0.00,0.00,1.00,1.00,1.00
5.00,"2,182.00","2,182.00","1,122.00","1,122.00","1,060.00","1,060.00",1.00,1.00,1.00,"5,300.00","6,360.00","6,360.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"2,182.00","1,122.00","1,060.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"1,060.00","1,060.00",0.00,0.00,1.00,1.00,1.00
6.00,552.00,552.00,283.00,283.00,269.00,269.00,1.00,1.00,1.00,"1,614.00","1,883.00","1,883.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,552.00,283.00,269.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,269.00,269.00,0.00,0.00,1.00,1.00,1.00
7.00,68.00,68.00,38.00,38.00,30.00,30.00,1.00,1.00,1.00,210.00,240.00,240.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,68.00,38.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,30.00,30.00,0.00,0.00,1.00,1.00,1.00
8.00,42.00,42.00,22.00,22.00,20.00,20.00,1.00,1.00,1.00,160.00,180.00,180.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,42.00,22.00,20.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,20.00,20.00,0.00,0.00,1.00,1.00,1.00
9.00,"2,012.00","2,012.00","1,050.00","1,050.00",962.00,962.00,1.00,1.00,1.00,"8,658.00","9,620.00","9,620.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"2,012.00","1,050.00",962.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,962.00,962.00,0.00,0.00,1.00,1.00,1.00
10.00,955.00,955.00,475.00,475.00,480.00,480.00,1.00,1.00,1.00,"4,800.00","5,280.00","5,280.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,955.00,475.00,480.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,480.00,480.00,0.00,0.00,1.00,1.00,1.00
11.00,438.00,438.00,230.00,230.00,208.00,208.00,1.00,1.00,1.00,"2,288.00","2,496.00","2,496.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,438.00,230.00,208.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,208.00,208.00,0.00,0.00,1.00,1.00,1.00
12.00,132.00,132.00,57.00,57.00,75.00,75.00,1.00,1.00,1.00,900.00,975.00,975.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,132.00,57.00,75.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,75.00,75.00,0.00,0.00,1.00,1.00,1.00
13.00,272.00,272.00,150.00,150.00,122.00,122.00,1.00,1.00,1.00,"1,586.00","1,708.00","1,708.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,272.00,150.00,122.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,122.00,122.00,0.00,0.00,1.00,1.00,1.00
14.00,176.00,176.00,81.00,81.00,95.00,95.00,1.00,1.00,1.00,"1,330.00","1,425.00","1,425.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,176.00,81.00,95.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,95.00,95.00,0.00,0.00,1.00,1.00,1.00
15.00,554.00,554.00,277.00,277.00,277.00,277.00,1.00,1.00,1.00,"4,155.00","4,432.00","4,432.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,554.00,277.00,277.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,277.00,277.00,0.00,0.00,1.00,1.00,1.00
16.00,383.00,383.00,187.00,187.00,196.00,196.00,1.00,1.00,1.00,"3,136.00","3,332.00","3,332.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,383.00,187.00,196.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,196.00,196.00,0.00,0.00,1.00,1.00,1.00
17.00,124.00,124.00,63.00,63.00,61.00,61.00,1.00,1.00,1.00,"1,037.00","1,098.00","1,098.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,124.00,63.00,61.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,61.00,61.00,0.00,0.00,1.00,1.00,1.00
18.00,61.00,60.00,27.00,27.00,34.00,33.00,1.00,0.97,0.98,612.00,645.00,646.00,1.00,0.98,1.00,0.98,1.00,0.98,1.00,0.98,60.00,27.00,33.00,0.98,1.00,0.97,1.00,1.00,0.97,0.97,33.00,33.00,0.00,0.00,0.97,1.00,0.97
19.00,275.00,274.00,135.00,135.00,140.00,139.00,1.00,0.99,1.00,"2,660.00","2,799.00","2,800.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,274.00,135.00,139.00,1.00,1.00,0.99,1.00,1.00,0.99,0.99,139.00,139.00,0.00,0.00,0.99,1.00,0.99
20.00,244.00,241.00,122.00,121.00,122.00,120.00,0.99,0.98,0.99,"2,440.00","2,553.00","2,562.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,244.00,122.00,122.00,1.00,1.00,1.00,0.99,0.99,0.98,0.98,120.00,120.00,0.00,2.00,0.98,1.00,0.98
21.00,143.00,13.00,67.00,8.00,76.00,5.00,0.12,0.07,0.09,"1,596.00","1,680.00","1,672.00",0.96,0.95,0.96,0.96,1.00,0.99,1.00,1.00,137.00,64.00,73.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96,73.00,73.00,0.00,0.00,0.96,1.00,0.96
22.00,38.00,0.00,14.00,0.00,24.00,0.00,0.00,0.00,0.00,528.00,541.00,552.00,0.94,0.94,0.90,0.92,0.97,0.97,0.93,0.95,33.00,11.00,22.00,0.87,0.79,0.92,0.29,0.29,0.42,0.42,22.00,22.00,0.00,0.00,0.92,1.00,0.92
23.00,11.00,0.00,3.00,0.00,8.00,0.00,0.00,0.00,0.00,184.00,176.00,192.00,0.92,0.96,0.87,0.88,0.97,0.98,0.91,0.90,5.00,2.00,3.00,0.45,0.67,0.38,0.00,0.33,0.00,0.00,3.00,3.00,0.00,0.00,0.38,1.00,0.38
